period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
TRAINING,c2,gross,tvar_minus_mean,0.995,24478975.791536149,5001,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,100,0,10000,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,250,0,4000,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,500,9503670.6275761537,2000,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,2500,34251962.019530579,400,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,5000,73402881.011671439,200,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,10000,104385676.45909692,100,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,50000,164060119.45283419,20,True,1000000
TRAINING,c2,benchmark_retained,aep_pml,100000,186999479.48532999,10,False,1000000
TRAINING,c2,benchmark_retained,aep_pml,1000000,225768619.60074806,1,False,1000000
TRAINING,c2,benchmark_retained,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c2,benchmark_retained,tvar,0.98999999999999999,6548051.1495381463,10001,True,1000000
TRAINING,c2,benchmark_retained,tvar_minus_mean,0.98999999999999999,6482564.0899916152,10001,True,1000000
TRAINING,c2,benchmark_retained,var,0.995,0,5001,True,1000000
TRAINING,c2,benchmark_retained,tvar,0.995,13094792.950716058,5001,True,1000000
TRAINING,c2,benchmark_retained,tvar_minus_mean,0.995,13029305.891169528,5001,True,1000000
TRAINING,c2,cash_net,aep_pml,100,0,10000,True,1000000
TRAINING,c2,cash_net,aep_pml,250,0,4000,True,1000000
TRAINING,c2,cash_net,aep_pml,500,444242.31131681718,2000,True,1000000
TRAINING,c2,cash_net,aep_pml,1000,19288942.731432207,1000,True,1000000
TRAINING,c2,cash_net,aep_pml,2500,67579924.669009686,400,True,1000000
TRAINING,c2,cash_net,aep_pml,5000,105324275.93749851,200,True,1000000
TRAINING,c2,cash_net,aep_pml,10000,137746363.180024,100,True,1000000
TRAINING,c2,cash_net,aep_pml,50000,193183297.6917142,20,True,1000000
TRAINING,c2,cash_net,aep_pml,100000,220320866.74940661,10,False,1000000
TRAINING,c2,cash_net,aep_pml,1000000,253913912.74681047,1,False,1000000
TRAINING,c2,cash_net,var,0.98999999999999999,0,10001,True,1000000
TRAINING,c2,cash_net,tvar,0.98999999999999999,7520114.6990594659,10001,True,1000000
TRAINING,c2,cash_net,tvar_minus_mean,0.98999999999999999,7464715.3390708342,10001,True,1000000
