source_type,candidate_id,attachment_index,distance_decay,tier_step,normalized_training_mse,training_occurrences,selected
INTERFACE,243,8.75,0.5,0.75,0.15980178818367882,3364,False
INTERFACE,244,8.75,0.5,1,0.15980178818367882,3364,False
INTERFACE,245,8.75,1,0.25,0.16777350775050559,3364,False
INTERFACE,246,8.75,1,0.5,0.17533909838962708,3364,False
INTERFACE,247,8.75,1,0.75,0.17533909838962708,3364,False
INTERFACE,248,8.75,1,1,0.17533909838962708,3364,False
INTERFACE,249,8.75,1.5,0.25,0.1776632758185234,3364,False
INTERFACE,250,8.75,1.5,0.5,0.18522886645764489,3364,False
INTERFACE,251,8.75,1.5,0.75,0.18522886645764489,3364,False
INTERFACE,252,8.75,1.5,1,0.18522886645764489,3364,False
INTERFACE,253,8.75,2,0.25,0.20391365308177128,3364,False
INTERFACE,254,8.75,2,0.5,0.20391365308177128,3364,False
INTERFACE,255,8.75,2,0.75,0.20391365308177128,3364,False
INTERFACE,256,8.75,2,1,0.20391365308177128,3364,False
INTERFACE,257,9,0.5,0.25,0.18573767865274074,3364,False
INTERFACE,258,9,0.5,0.5,0.18573767865274074,3364,False
INTERFACE,259,9,0.5,0.75,0.18573767865274074,3364,False
INTERFACE,260,9,0.5,1,0.18573767865274074,3364,False
INTERFACE,261,9,1,0.25,0.20391365308177128,3364,False
INTERFACE,262,9,1,0.5,0.20391365308177128,3364,False
INTERFACE,263,9,1,0.75,0.20391365308177128,3364,False
INTERFACE,264,9,1,1,0.20391365308177128,3364,False
INTERFACE,265,9,1.5,0.25,0.20391365308177128,3364,False
INTERFACE,266,9,1.5,0.5,0.20391365308177128,3364,False
INTERFACE,267,9,1.5,0.75,0.20391365308177128,3364,False
INTERFACE,268,9,1.5,1,0.20391365308177128,3364,False
INTERFACE,269,9,2,0.25,0.21969119378034582,3364,False
INTERFACE,270,9,2,0.5,0.21969119378034582,3364,False
INTERFACE,271,9,2,0.75,0.21969119378034582,3364,False
INTERFACE,272,9,2,1,0.21969119378034582,3364,False
INTERFACE,273,9.25,0.5,0.25,0.21969119378034582,3364,False
INTERFACE,274,9.25,0.5,0.5,0.21969119378034582,3364,False
INTERFACE,275,9.25,0.5,0.75,0.21969119378034582,3364,False
INTERFACE,276,9.25,0.5,1,0.21969119378034582,3364,False
INTERFACE,277,9.25,1,0.25,0.21969119378034582,3364,False
INTERFACE,278,9.25,1,0.5,0.21969119378034582,3364,False
INTERFACE,279,9.25,1,0.75,0.21969119378034582,3364,False
INTERFACE,280,9.25,1,1,0.21969119378034582,3364,False
INTERFACE,281,9.25,1.5,0.25,0.21969119378034582,3364,False
INTERFACE,282,9.25,1.5,0.5,0.21969119378034582,3364,False
INTERFACE,283,9.25,1.5,0.75,0.21969119378034582,3364,False
INTERFACE,284,9.25,1.5,1,0.21969119378034582,3364,False
INTERFACE,285,9.25,2,0.25,0.21969119378034582,3364,False
INTERFACE,286,9.25,2,0.5,0.21969119378034582,3364,False
INTERFACE,287,9.25,2,0.75,0.21969119378034582,3364,False
INTERFACE,288,9.25,2,1,0.21969119378034582,3364,False
SLAB,1,5,0.5,0.25,0.96794211823196363,1988,False
SLAB,2,5,0.5,0.5,0.73210909607077868,1988,False
SLAB,3,5,0.5,0.75,0.37366814581099528,1988,False
SLAB,4,5,0.5,1,0.24479281473119188,1988,False
SLAB,5,5,1,0.25,0.92370796330238614,1988,False
SLAB,6,5,1,0.5,0.49803726882481331,1988,False
SLAB,7,5,1,0.75,0.25834923934104964,1988,False
SLAB,8,5,1,1,0.18162148858902002,1988,False
SLAB,9,5,1.5,0.25,0.69999065947944861,1988,False
SLAB,10,5,1.5,0.5,0.30551563275930943,1988,False
SLAB,11,5,1.5,0.75,0.16680296742282288,1988,False
SLAB,12,5,1.5,1,0.11828737519764211,1988,False
SLAB,13,5,2,0.25,0.45134804181104476,1988,False
SLAB,14,5,2,0.5,0.17535061547542405,1988,False
SLAB,15,5,2,0.75,0.10383330216208869,1988,False
SLAB,16,5,2,1,0.070746689208300309,1988,False
SLAB,17,5.25,0.5,0.25,0.96794211823196363,1988,False
SLAB,18,5.25,0.5,0.5,0.55441524874547743,1988,False
SLAB,19,5.25,0.5,0.75,0.28489195769229736,1988,False
SLAB,20,5.25,0.5,1,0.20919316866950294,1988,False
SLAB,21,5.25,1,0.25,0.79858220877522323,1988,False
SLAB,22,5.25,1,0.5,0.33514653841665965,1988,False
SLAB,23,5.25,1,0.75,0.18565070178594695,1988,False
SLAB,24,5.25,1,1,0.12397748814176755,1988,False
SLAB,25,5.25,1.5,0.25,0.50476227722351952,1988,False
SLAB,26,5.25,1.5,0.5,0.19163052622633875,1988,False
SLAB,27,5.25,1.5,0.75,0.11354986192478314,1988,False
SLAB,28,5.25,1.5,1,0.076869899351450152,1988,False
SLAB,29,5.25,2,0.25,0.27592052286154861,1988,False
SLAB,30,5.25,2,0.5,0.10344659166473014,1988,False
SLAB,31,5.25,2,0.75,0.062249050122421289,1988,False
SLAB,32,5.25,2,1,0.047238104649534984,1988,False
SLAB,33,5.5,0.5,0.25,0.89487873795027351,1988,False
SLAB,34,5.5,0.5,0.5,0.3799669870437104,1988,False
SLAB,35,5.5,0.5,0.75,0.2134799374676104,1988,False
SLAB,36,5.5,0.5,1,0.14011985802880475,1988,False
SLAB,37,5.5,1,0.25,0.57835983483565312,1988,False
SLAB,38,5.5,1,0.5,0.21853872299158913,1988,False
SLAB,39,5.5,1,0.75,0.12412547279834327,1988,False
SLAB,40,5.5,1,1,0.083173282291893622,1988,False
SLAB,41,5.5,1.5,0.25,0.29703996036888358,1988,False
SLAB,42,5.5,1.5,0.5,0.10981024915079735,1988,False
SLAB,43,5.5,1.5,0.75,0.067909889291087988,1988,False
SLAB,44,5.5,1.5,1,0.05224069246622217,1988,False
SLAB,45,5.5,2,0.25,0.13495725637541997,1988,False
SLAB,46,5.5,2,0.5,0.052268471303531593,1988,False
SLAB,47,5.5,2,0.75,0.036769040263217076,1988,False
SLAB,48,5.5,2,1,0.033751170024797217,1988,False
SLAB,49,5.75,0.5,0.25,0.67992096729814289,1988,False
SLAB,50,5.75,0.5,0.5,0.25363274918991935,1988,False
SLAB,51,5.75,0.5,0.75,0.14011064952642674,1988,False
SLAB,52,5.75,0.5,1,0.088180537866481348,1988,False
SLAB,53,5.75,1,0.25,0.33669945222930758,1988,False
SLAB,54,5.75,1,0.5,0.1218355210053306,1988,False
SLAB,55,5.75,1,0.75,0.076854117301953975,1988,False
SLAB,56,5.75,1,1,0.059581887593933798,1988,False
SLAB,57,5.75,1.5,0.25,0.1354882354217761,1988,False
SLAB,58,5.75,1.5,0.5,0.055469911229496634,1988,False
SLAB,59,5.75,1.5,0.75,0.039696678381715131,1988,False
SLAB,60,5.75,1.5,1,0.037808776065157687,1988,False
SLAB,61,5.75,2,0.25,0.049923554258517369,1988,False
SLAB,62,5.75,2,0.5,0.025258813690020782,1988,False
SLAB,63,5.75,2,0.75,0.022250151953978937,1988,False
SLAB,64,5.75,2,1,0.022327561758784125,1988,False
SLAB,65,6,0.5,0.25,0.40717629097061059,1988,False
SLAB,66,6,0.5,0.5,0.14439741832453423,1988,False
SLAB,67,6,0.5,0.75,0.088180537866481348,1988,False
SLAB,68,6,0.5,1,0.066504433134752156,1988,False
SLAB,69,6,1,0.25,0.14784355017651138,1988,False
SLAB,70,6,1,0.5,0.063640683447463292,1988,False
SLAB,71,6,1,0.75,0.046220469082867394,1988,False
SLAB,72,6,1,1,0.044643469165618503,1988,False
SLAB,73,6,1.5,0.25,0.046652481397547865,1988,False
SLAB,74,6,1.5,0.5,0.025303306186148355,1988,False
SLAB,75,6,1.5,0.75,0.023415403869590911,1988,False
SLAB,76,6,1.5,1,0.023562876901001173,1988,False
SLAB,77,6,2,0.25,0.015892324282831789,1988,False
SLAB,78,6,2,0.5,0.012341508218158258,1988,False
SLAB,79,6,2,0.75,0.012418918022963446,1988,False
SLAB,80,6,2,1,0.012491003788922948,1988,False
SLAB,81,6.25,0.5,0.25,0.18041144552503116,1988,False
SLAB,82,6.25,0.5,0.5,0.077733703609576182,1988,False
SLAB,83,6.25,0.5,0.75,0.056066807380225007,1988,False
SLAB,84,6.25,0.5,1,0.053792111016725146,1988,False
SLAB,85,6.25,1,0.25,0.048928505349323442,1988,False
SLAB,86,6.25,1,0.5,0.027205338604061893,1988,False
SLAB,87,6.25,1,0.75,0.025628338686812999,1988,False
SLAB,88,6.25,1,1,0.025606108557400264,1988,False
SLAB,89,6.25,1.5,0.25,0.015114111835709118,1988,False
SLAB,90,6.25,1.5,0.5,0.013122173496235977,1988,False
SLAB,91,6.25,1.5,0.75,0.013269646527646239,1988,False
SLAB,92,6.25,1.5,1,0.013269646527646239,1988,False
SLAB,93,6.25,2,0.25,0.010139107511139672,1988,True
SLAB,94,6.25,2,0.5,0.010225725818322873,1988,False
SLAB,95,6.25,2,0.75,0.010297811584282373,1988,False
SLAB,96,6.25,2,1,0.010297811584282373,1988,False
SLAB,97,6.5,0.5,0.25,0.059835183394020268,1988,False
SLAB,98,6.5,0.5,0.5,0.033827849605358111,1988,False
SLAB,99,6.5,0.5,0.75,0.031553153241858242,1988,False
SLAB,100,6.5,0.5,1,0.031625239007817746,1988,False
SLAB,101,6.5,1,0.25,0.015787044976156017,1988,False
SLAB,102,6.5,1,0.5,0.014062060402331412,1988,False
