case_name,structure,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_10,ceded_aal_2022_usd,77902.566632826725,74263.044516482638,3639.5221163440874,4.9008522880263783,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_11,ceded_aal_2022_usd,67996.673400475047,69979.08162515705,-1982.4082246820035,-2.8328583037153492,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_11,ceded_aal_2022_usd,80703.52306942975,74865.86484688858,5837.6582225411694,7.7974898633442837,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_12,ceded_aal_2022_usd,73877.59247318338,72897.102066603664,980.49040657971636,1.3450334495929273,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_12,ceded_aal_2022_usd,82206.991536669928,75093.967789373681,7113.0237472962472,9.472163952299228,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_13,ceded_aal_2022_usd,23198.203737459273,21558.853757620218,1639.3499798390549,7.6040683714903361,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_13,ceded_aal_2022_usd,66084.583964320365,66629.201817116627,-544.61785279626201,-0.81738612791899468,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_14,ceded_aal_2022_usd,32557.386846361002,27835.542889592842,4721.8439567681598,16.963362185882009,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_14,ceded_aal_2022_usd,68885.540400923375,67232.02214752257,1653.5182534008054,2.4594206757199788,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,STANDALONE_ANNUAL_AGGREGATE,AGG_15,ceded_aal_2022_usd,38438.305919069331,30753.563331039481,7684.7425880298506,24.988137164169405,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
