case_name,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,OCC_09,retained_aep_2500yr_pml_2022_usd,51743393.167710587,51743393.167710587,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_10,retained_aep_2500yr_pml_2022_usd,19364973.8072026,19364973.8072026,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_11,retained_aep_2500yr_pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_12,retained_aep_2500yr_pml_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_13,retained_aep_2500yr_pml_2022_usd,48100316.692113258,48100316.692113258,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_14,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,OCC_15,retained_aep_2500yr_pml_2022_usd,47812543.505373098,47812543.505373098,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_01,retained_aep_2500yr_pml_2022_usd,47151396.792175032,32836523.349690475,14314873.442484558,43.594363782180046,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_02,retained_aep_2500yr_pml_2022_usd,14280689.91595678,1.4901161193847656e-08,14280689.915956765,95836087739611392,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,OCC_03,retained_aep_2500yr_pml_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_occurrence_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
