case_name,program,ceded_price_multiplier,expense_ratio,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1,0.20000000000000001,break_even_required_earned_premium_2022_usd,154304.28653520707,153724.44995916056,579.83657604650944,0.37719216181977078,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1,0.29999999999999999,break_even_required_earned_premium_2022_usd,176347.75604023668,175685.08566761209,662.67037262459053,0.37719216181977544,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1,0.40000000000000002,break_even_required_earned_premium_2022_usd,205739.04871360946,204965.93327888075,773.11543472870835,0.37719216181978493,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.25,0.20000000000000001,break_even_required_earned_premium_2022_usd,172633.87851356674,173623.3866239312,-989.50811036446248,-0.56991637451914245,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.25,0.29999999999999999,break_even_required_earned_premium_2022_usd,197295.86115836201,198426.72757020712,-1130.8664118451125,-0.56991637451914867,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.25,0.40000000000000002,break_even_required_earned_premium_2022_usd,230178.50468475567,231497.84883190831,-1319.3441471526457,-0.569916374519155,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.5,0.20000000000000001,break_even_required_earned_premium_2022_usd,190963.47049192642,193522.32328870182,-2558.8527967754053,-1.3222520034332368,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.5,0.29999999999999999,break_even_required_earned_premium_2022_usd,218243.96627648734,221168.36947280212,-2924.4031963147863,-1.3222520034332534,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,1.5,0.40000000000000002,break_even_required_earned_premium_2022_usd,254617.9606559019,258029.76438493581,-3411.8037290339125,-1.3222520034332517,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL,2,0.20000000000000001,break_even_required_earned_premium_2022_usd,227622.65444864577,233320.19661824312,-5697.5421695973491,-2.4419412687704991,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
