notebook,path,status,hash_mode,expected_sha256,actual_raw_sha256
11,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,PASS,raw,179f6b460fcd87e1fb0d087b0fb9c790e84ffa640677168eab4d9558d998ea8a,179f6b460fcd87e1fb0d087b0fb9c790e84ffa640677168eab4d9558d998ea8a
11,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_uncertainty_summary.csv,PASS,raw,8706cb96266143e4fe6c259ae97f5cb306f92dbb34202959e2598977b6bd6ffb,8706cb96266143e4fe6c259ae97f5cb306f92dbb34202959e2598977b6bd6ffb
11,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_break_even_premium_grid.csv,PASS,raw,621bbf51da87a34827f231e95d6477d5e18769ca5391d69c2feba1e48b80bf57,621bbf51da87a34827f231e95d6477d5e18769ca5391d69c2feba1e48b80bf57
11,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_raroc_assumption_grid.csv,PASS,raw,955947e81ddae980927303a5ea7ec84d9d91425f1b482fadf8dc4bbde50dcaa4,955947e81ddae980927303a5ea7ec84d9d91425f1b482fadf8dc4bbde50dcaa4
11,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_final_validation.csv,PASS,raw,8602c762d5e55470616508058ceff8ef43fd02f68b7b0347e23d66ac7628c57d,8602c762d5e55470616508058ceff8ef43fd02f68b7b0347e23d66ac7628c57d
11,data/processed/phase_2/notebook_11_reinsurance_capital/paired_reinsurance_event_loss.csv.gz,PASS,raw,294c6a7f154201a392c2c3b1656227dbca2af3d767e05db1db4628f415c836c5,294c6a7f154201a392c2c3b1656227dbca2af3d767e05db1db4628f415c836c5
11,data/processed/phase_2/notebook_11_reinsurance_capital/paired_reinsurance_annual_loss.csv.gz,PASS,raw,f6829efb2f997d0d69c88d22b0e0140cad58fc48cb733b140547456588f1b3fc,f6829efb2f997d0d69c88d22b0e0140cad58fc48cb733b140547456588f1b3fc
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_final_handoff.json,PASS,raw,cbd134f3f5c91b79607e2ee457f75d791203319230d985cd627660e1c6d4a655,cbd134f3f5c91b79607e2ee457f75d791203319230d985cd627660e1c6d4a655
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_input_validation.csv,PASS,raw,f61cf03b252993f2eda4df7256bf0c856f8ae9c1cc311bc42d05b08e5df261f1,f61cf03b252993f2eda4df7256bf0c856f8ae9c1cc311bc42d05b08e5df261f1
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_model_specification.json,PASS,raw,8c33cb3208573f205c09b215a15bc8f0be59a5d19b605a132cded5e9540da880,8c33cb3208573f205c09b215a15bc8f0be59a5d19b605a132cded5e9540da880
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_feature_summary.csv,PASS,raw,2c2f0de8b94477b271efc6b00e7f17c9ccd8b137ad82156147339f97bd7ead4d,2c2f0de8b94477b271efc6b00e7f17c9ccd8b137ad82156147339f97bd7ead4d
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_frozen_trigger.json,PASS,raw,3d69329f9e61d9423b27da231c2135abd24dee63736388a03b2eadacb0b8f6db,3d69329f9e61d9423b27da231c2135abd24dee63736388a03b2eadacb0b8f6db
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_trigger_candidate_grid.csv,PASS,raw,35be6925336a24af2df35e62e158b41238c1c42cf27317299dacdf44630dba31,35be6925336a24af2df35e62e158b41238c1c42cf27317299dacdf44630dba31
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,PASS,raw,217de8c0521f4e2ca2700dcc7982ab47ed6b5abb785750c49239952953649979,217de8c0521f4e2ca2700dcc7982ab47ed6b5abb785750c49239952953649979
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv,PASS,raw,64054391b10db13d461691ae23b1f413aa32b609384c632b42aaefa7e789a5fa,64054391b10db13d461691ae23b1f413aa32b609384c632b42aaefa7e789a5fa
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_paired_case_differences.csv,PASS,raw,1ea1ad0e116d9e837b0fe15949f26149cd16fc48f7f9ff57daa5bc020b6e4a82,1ea1ad0e116d9e837b0fe15949f26149cd16fc48f7f9ff57daa5bc020b6e4a82
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_uncertainty_summary.csv,PASS,raw,404ab09af8503aa28dbfb59cb92cce5b81a9fe53fc35be724e2eafb948f9fc37,404ab09af8503aa28dbfb59cb92cce5b81a9fe53fc35be724e2eafb948f9fc37
12,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_final_validation.csv,PASS,raw,53ae8e3f0925858c5273d7ce7a41a32ff140064b44306c74d6b32e8ee8677b73,53ae8e3f0925858c5273d7ce7a41a32ff140064b44306c74d6b32e8ee8677b73
12,data/processed/phase_2/notebook_12_parametric_basis_risk/paired_parametric_event_basis_risk.csv.gz,PASS,raw,3b4e3645fb8aed177979cfa3613b05411843f5e570f22eb04b2245b781c4cfb2,3b4e3645fb8aed177979cfa3613b05411843f5e570f22eb04b2245b781c4cfb2
12,data/processed/phase_2/notebook_12_parametric_basis_risk/paired_parametric_annual_basis_risk.csv.gz,PASS,raw,766418e1cdf3d7ebfec63263d45e0bcd941b34ae5651c9a72a3d2d069fd12c2e,766418e1cdf3d7ebfec63263d45e0bcd941b34ae5651c9a72a3d2d069fd12c2e
