case_name,loss_basis,risk_metric,parameter,tail_count,headline_supported,metric,value,baseline_value,absolute_change,percent_change,percentage_status,period,unit,source_path
C1_ALDEA22_SUBDUCTION,gross,aep_pml,1000000,1,False,value_2022_usd,265235529.01015943,205131492.83591884,60104036.174240589,29.300248023016522,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,tvar,0.98999999999999999,10001,True,value_2022_usd,12371299.431985974,12257645.807940349,113653.62404562533,0.92720597271624494,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,12247574.066366682,12135057.092215138,112516.97415154427,0.92720597271623861,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,tvar,0.995,5001,True,value_2022_usd,24740125.098838579,24512840.576926898,227284.5219116807,0.92720597271625826,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,gross,tvar_minus_mean,0.995,5001,True,value_2022_usd,24616399.733219288,24390251.861201685,226147.87201760337,0.92720597271627059,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,250,4000,True,value_2022_usd,0,6199.5039999999899,-6199.5039999999899,-100,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,500,2000,True,value_2022_usd,9588988.64585183,18811083.540145434,-9222094.8942936044,-49.024793678750015,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
C1_ALDEA22_SUBDUCTION,benchmark_retained,aep_pml,1000,1000,True,value_2022_usd,18811083.540145438,18811083.540145438,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
