case_name,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit,program,target_kind,target_parameter,risk_measure,confidence
I0_PHASE1_INDEPENDENT,retained_aep_2500yr_pml_2022_usd,80748393.056030944,80748393.056030944,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
I0_PHASE1_INDEPENDENT,retained_aep_2500yr_pml_2022_usd,19364973.807202592,19364973.807202592,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,retained_aep_2500yr_pml_2022_usd,18910409.741112798,18910409.741112798,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_aep_2500yr_pml_2022_usd,94963940.29754813,80748393.056030944,14215547.241517186,17.604743207277306,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C1_ALDEA22_SUBDUCTION,retained_aep_2500yr_pml_2022_usd,33274085.978361294,19364973.807202592,13909112.171158701,71.826134698851774,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C1_ALDEA22_SUBDUCTION,retained_aep_2500yr_pml_2022_usd,33125956.982629985,18910409.741112798,14215547.241517186,75.17313181539059,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_aep_2500yr_pml_2022_usd,95822490.093807653,80748393.056030944,15074097.037776709,18.667983927948711,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C2_GODA_ATKINSON09,retained_aep_2500yr_pml_2022_usd,34077380.568738997,19364973.807202592,14712406.761536404,75.974317900002973,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C2_GODA_ATKINSON09,retained_aep_2500yr_pml_2022_usd,33984506.778889507,18910409.741112798,15074097.037776709,79.713222738925495,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C2_GODA_ATKINSON09,retained_aep_2500yr_pml_2022_usd,18811083.540145442,18811083.540145442,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,required_limit_2022_usd,61838817.178265303,61838817.178265303,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_pml,2500,,
I0_PHASE1_INDEPENDENT,required_limit_2022_usd,61838817.178265303,61838817.178265303,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_tvar,0.995,,
C1_ALDEA22_SUBDUCTION,required_limit_2022_usd,75900588.129948765,61838817.178265303,14061770.951683462,22.739391846947875,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_pml,2500,,
C1_ALDEA22_SUBDUCTION,required_limit_2022_usd,73321951.225653172,61838817.178265303,11483134.047387868,18.569459396813759,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_tvar,0.995,,
C2_GODA_ATKINSON09,required_limit_2022_usd,76665128.298450232,61838817.178265303,14826311.120184928,23.975735301411909,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_pml,2500,,
C2_GODA_ATKINSON09,required_limit_2022_usd,73191675.456178129,61838817.178265303,11352858.277912825,18.358789504633432,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_required_limit_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,aep_tvar,0.995,,
I0_PHASE1_INDEPENDENT,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C2_GODA_ATKINSON09,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,target_aal_2022_usd,63881.839915570657,63881.839915570657,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,target_aal_2022_usd,59634.325193063982,63881.839915570657,-4247.5147225066758,-6.6490175112683003,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C2_GODA_ATKINSON09,target_aal_2022_usd,59660.693321941209,63881.839915570657,-4221.146593629448,-6.6077411032749218,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,expected_protection_shortfall_2022_usd,23098.517245562882,23098.517245562882,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,expected_protection_shortfall_2022_usd,25940.233469967836,23098.517245562882,2841.7162244049541,12.302591522193204,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C2_GODA_ATKINSON09,expected_protection_shortfall_2022_usd,25919.517300664305,23098.517245562882,2821.0000551014236,12.212905378778478,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,expected_excess_payout_2022_usd,26218.13225170604,26218.13225170604,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,expected_excess_payout_2022_usd,33307.363198617662,26218.13225170604,7089.2309469116226,27.039420195350946,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C2_GODA_ATKINSON09,expected_excess_payout_2022_usd,33260.278900436904,26218.13225170604,7042.1466487308644,26.859833420333075,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,event_rmse_2022_usd,15673237.282465262,15673237.282465262,0,0,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,event_rmse_2022_usd,18233493.559866678,15673237.282465262,2560256.2774014156,16.335210341425455,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
C2_GODA_ATKINSON09,event_rmse_2022_usd,18231189.327745482,15673237.282465262,2557952.04528022,16.320508642729337,defined,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio,,,,aal,
I0_PHASE1_INDEPENDENT,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio,,,,var,0.98999999999999999
I0_PHASE1_INDEPENDENT,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio,,,,tvar,0.98999999999999999
