program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method,source_notebook,uncertainty_scope,interval_excludes_zero,period,scope
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,18811083.540145442,18811083.540145442,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,18811083.540145442,18811083.540145442,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,41212694.633515686,18811083.540145442,22401611.093370244,119.08729789840189,2285953.5151786087,17686242.967049584,25695420.918898329,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C1_ALDEA22_SUBDUCTION,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,9110479.6400151271,9743182.9771997742,-632703.3371846471,-6.4938053474439483,90687.582663236273,-805166.64526460401,-452795.45807430841,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aal,mean,45461.542153160779,48720.786477487694,-3259.2443243269154,-6.6896381605680899,453.73394681511246,-4128.3694320589993,-2322.4597457588575,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.3905868717,18811083.540145427,-9294617.1495585553,-49.410323066837535,384662.27350653923,-9585447.4834102243,-8193409.498921806,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,18811083.540145442,18811083.540145442,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,18811083.540145442,18811083.540145442,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,39231430.417527109,18811083.540145442,20420346.877381667,108.55486784587308,2379708.0393996919,16147063.393646315,24609078.99155049,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
STACKED_OCCURRENCE_PLUS_AGGREGATE,STACKED_OCCURRENCE_PLUS_AGGREGATE:C2_GODA_ATKINSON09,STACKED_OCCURRENCE_PLUS_AGGREGATE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,9091399.2907030396,9743182.9771997742,-651783.68649673462,-6.6896381605681343,90737.715591464323,-825591.32727905805,-464445.50460129039,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
,c1_shortfall,i0_shortfall,annual_mean,mean,25940.23346996788,23098.517245562911,2841.7162244049687,12.302591522193239,663.46149231773506,1555.9270946372603,4205.5688007308645,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c2_shortfall,i0_shortfall,annual_mean,mean,25919.51730066436,23098.517245562911,2821.0000551014491,12.212905378778572,670.98999280996134,1496.6536329243493,4197.2384375519887,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c1_excess,i0_excess,annual_mean,mean,33307.36319861775,26218.132251706076,7089.2309469116735,27.039420195351106,562.55534617468857,6015.7889559218538,8162.0142622239391,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c2_excess,i0_excess,annual_mean,mean,33260.278900436992,26218.132251706076,7042.1466487309153,26.859833420333246,558.7640815587489,6004.1958845028776,8146.0106200937871,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c1_unfunded,i0_unfunded,aal,mean,76060.165928276794,65067.198044525896,10992.967883750898,16.894792175050078,1641.549478853977,7465.5878626415079,13704.545547604876,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c1_unfunded,i0_unfunded,aep_tvar_99_5,tvar,15208991.387377895,13010837.441416899,2198153.9459609967,16.894792175050142,328244.24692141195,1492819.0087265545,2740361.0373135088,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c1_unfunded,i0_unfunded,aep_pml_2500yr,pml,67931687.045710355,51367320.025272384,16564367.020437971,32.246897467667004,2196561.2383208005,11493227.687711574,20131930.502828702,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c2_unfunded,i0_unfunded,aal,mean,76049.85920304562,65067.198044525896,10982.661158519724,16.878952050469763,1640.9152249095839,7491.9118981826978,13803.011883504012,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c2_unfunded,i0_unfunded,aep_tvar_99_5,tvar,15206930.454518232,13010837.441416899,2196093.0131013338,16.878952050469831,328117.42149761732,1498082.7630839411,2760050.3666274878,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
,c2_unfunded,i0_unfunded,aep_pml_2500yr,pml,68863828.858474016,51367320.025272384,17496508.833201632,34.06155669517792,2328288.6033265037,11960922.011333853,21208199.826784607,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,12,evaluation_paired_sampling_conditional_on_frozen_trigger,True,EVALUATION,conditional on frozen trigger; paired evaluation catalog years; no recalibration
