case_name,case_prefix,program,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,100000,20,True,177724333.83312032
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,200000,10,False,188669633.6116764
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,500000,4,False,210111664.1746652
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,1000000,2,False,217639236.3065385
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,gross,aep,2000000,1,False,244325807.3326858
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,250,8000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,500,4000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,1000,2000,True,29085655.13285253
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,2000,1000,True,54432475.97744803
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,2500,800,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,5000,400,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,10000,200,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,20000,100,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,50000,40,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,100000,20,True,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,200000,10,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,500000,4,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,1000000,2,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,ceded,aep,2000000,1,False,61837983.314918146
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,retained,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,retained,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,retained,aep,200,10000,True,0.0
