case_name,case_prefix,program,premium_multiple_of_gross_aal,expense_ratio,ceded_price_multiplier,earned_premium_2022_usd,expenses_2022_usd,retained_aal_2022_usd,expected_reinsurance_premium_2022_usd,underwriting_result_2022_usd,var99_5_economic_capital_floored_2022_usd,tvar99_5_tail_capital_2022_usd,raroc_using_var99_5_capital,raroc_using_tvar99_5_tail_capital,var_capital_informative,pricing_status
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,1.25,0.2,0.0,153724.44995916059,30744.88999183212,122979.55996732846,0.0,1.4551915228366852e-11,0.0,24470473.088233545,,5.946724109459101e-19,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.0,0.2,1.0,245959.11993465692,49191.823986931384,59317.00606097586,63662.55390635259,73787.73598039709,0.0,11802897.984635122,,0.006251662606628738,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.5,0.2,1.0,307448.89991832117,61489.77998366424,59317.00606097586,63662.55390635259,122979.5599673285,0.0,11802897.984635122,,0.010419437677714565,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,3.0,0.2,1.0,368938.6799019854,73787.73598039708,59317.00606097586,63662.55390635259,172171.38395425986,0.0,11802897.984635122,,0.014587212748800388,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.25,0.3,1.0,153724.44995916059,46117.334987748174,59317.00606097586,63662.55390635259,-15372.444995916041,0.0,11802897.984635122,,-0.001302429709714319,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.5,0.3,1.0,184469.3399509927,55340.80198529781,59317.00606097586,63662.55390635259,6148.977998366427,0.0,11802897.984635122,,0.0005209718838857285,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.0,0.3,1.0,245959.11993465692,73787.73598039708,59317.00606097586,63662.55390635259,49191.823986931406,0.0,11802897.984635122,,0.004167775071085827,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,2.5,0.3,1.0,307448.89991832117,92234.66997549635,59317.00606097586,63662.55390635259,92234.66997549636,0.0,11802897.984635122,,0.007814578258285923,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,3.0,0.3,1.0,368938.6799019854,110681.60397059562,59317.00606097586,63662.55390635259,135277.5159640613,0.0,11802897.984635122,,0.01146138144548602,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.25,0.4,1.0,153724.44995916059,61489.77998366424,59317.00606097586,63662.55390635259,-30744.889991832097,0.0,11802897.984635122,,-0.002604859419428639,False,assumption grid; not a central estimate
I0_PHASE1_INDEPENDENT,i0,STANDALONE_AGGREGATE,1.5,0.4,1.0,184469.3399509927,73787.73598039708,59317.00606097586,63662.55390635259,-12297.955996732824,0.0,11802897.984635122,,-0.0010419437677714543,False,assumption grid; not a central estimate
