case_name,case_prefix,program,ceded_price_multiplier,expense_ratio,expected_reinsurance_premium_2022_usd,break_even_required_earned_premium_2022_usd,break_even_premium_multiple_of_gross_aal,pricing_status
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.0,0.4,58604.144007366674,205559.46236149748,1.6666666666666665,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.25,0.2,73255.18000920834,172483.39177342516,1.3984874075844076,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.25,0.3,73255.18000920834,197123.87631248593,1.598271322953609,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.25,0.4,73255.18000920834,229977.85569790023,1.8646498767792103,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.5,0.2,87906.21601105001,190797.18677572726,1.5469748151688159,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.5,0.3,87906.21601105001,218053.92774368834,1.76797121733579,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,1.5,0.4,87906.21601105001,254396.24903430304,2.0626330868917546,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,2.0,0.2,117208.28801473335,227424.77678033145,1.8439496303376324,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,2.0,0.3,117208.28801473335,259914.0306060931,2.107371006100151,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,FROZEN_OCCURRENCE_XOL,2.0,0.4,117208.28801473335,303233.0357071086,2.458599507116843,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.0,0.2,58537.59358207701,154169.5967711231,1.2499999999999998,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.0,0.3,58537.59358207701,176193.82488128357,1.4285714285714286,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.0,0.4,58537.59358207701,205559.46236149748,1.6666666666666665,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.25,0.2,73171.99197759626,172462.59476552214,1.398318786400833,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.25,0.3,73171.99197759626,197100.1083034539,1.5980786130295237,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.25,0.4,73171.99197759626,229950.12635402955,1.8644250485344442,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.5,0.2,87806.39037311552,190755.59275992122,1.5466375728016666,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.5,0.3,87806.39037311552,218006.39172562427,1.7675857974876192,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,1.5,0.4,87806.39037311552,254340.79034656167,2.0621834304022224,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,2.0,0.2,117075.18716415402,227341.58874871937,1.8432751456033336,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,2.0,0.3,117075.18716415402,259818.958569965,2.10660016640381,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STANDALONE_AGGREGATE,2.0,0.4,117075.18716415402,303122.1183316258,2.4577001941377783,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.2,77874.13526373795,154169.59677112312,1.25,assumption grid; not a quoted price
C2_GODA_ATKINSON09,c2,STACKED_OCCURRENCE_PLUS_AGGREGATE,1.0,0.3,77874.13526373795,176193.8248812836,1.4285714285714288,assumption grid; not a quoted price
