site_ordinal,site_id,longitude,latitude
304,W2_0305,-123.9200745,45.994732794
305,W2_0306,-123.9200191,45.994955966
306,W2_0307,-123.9206714,45.994678102
307,W2_0308,-123.9254006,45.971414721
308,W2_0309,-123.921922,45.982131245
309,W2_0310,-123.9214937,45.981916011
310,W2_0311,-123.9233012,45.981456593
311,W2_0312,-123.9265985,45.992603977
312,W2_0313,-123.9265985,45.992603977
313,W2_0314,-123.9275025,45.9924085
314,W2_0315,-123.9275025,45.9924085
315,W2_0316,-123.9255974,45.992605561
316,W2_0317,-123.9273198,45.992941459
317,W2_0318,-123.9271625,45.992482756
318,W2_0319,-123.9235769,45.993430182
319,W2_0320,-123.9284007,45.980487469
320,W2_0321,-123.9224934,45.982837753
321,W2_0322,-123.9234896,45.991762
322,W2_0323,-123.9240678,45.989660216
323,W2_0324,-123.9237688,45.981970995
324,W2_0325,-123.9238058,45.982430324
325,W2_0326,-123.9286905,45.993354254
326,W2_0327,-123.9230453,45.990149355
327,W2_0328,-123.929478,45.994784
328,W2_0329,-123.9256933,45.981047338
329,W2_0330,-123.9252622,45.981116965
330,W2_0331,-123.9213846,45.993293506
331,W2_0332,-123.9222779,45.993285028
332,W2_0333,-123.9215927,45.992173066
333,W2_0334,-123.9248121,45.983030749
334,W2_0335,-123.9267286,45.99210223
335,W2_0336,-123.9224983,45.9895222
336,W2_0337,-123.9200513,45.992880646
337,W2_0338,-123.9225447,45.992588943
338,W2_0339,-123.9264085,45.993488037
339,W2_0340,-123.9283752,45.994620308
340,W2_0341,-123.9275222,45.993320558
341,W2_0342,-123.9296004,45.993062645
342,W2_0343,-123.9275182,45.992938498
343,W2_0344,-123.9271692,45.992938176
344,W2_0345,-123.9262992,45.978201446
345,W2_0346,-123.9256564,45.979317427
346,W2_0347,-123.9226949,45.993280984
347,W2_0348,-123.9214612,45.99329519
348,W2_0349,-123.9219094,45.992885896
349,W2_0350,-123.9199447,45.990248452
350,W2_0351,-123.9244005,45.986726799
351,W2_0352,-123.924121,45.985845013
352,W2_0353,-123.9223944,45.98250653
353,W2_0354,-123.9229349,45.995685787
354,W2_0355,-123.9155426,46.013770184
355,W2_0356,-123.914619,46.00673863
