site_ordinal,site_id,site_longitude,site_latitude
351,W2_0352,-123.924121,45.985845013000002
352,W2_0353,-123.9223944,45.982506530000002
353,W2_0354,-123.9229349,45.995685786999999
354,W2_0355,-123.91554259999999,46.013770184000002
355,W2_0356,-123.914619,46.006738630000001
356,W2_0357,-123.9144445,46.009403583000001
357,W2_0358,-123.9163361,46.011634968999999
358,W2_0359,-123.9304846,45.988076755000002
359,W2_0360,-123.9320338,45.983973044000003
360,W2_0361,-123.9198669,45.988005020999999
361,W2_0362,-123.9241822,45.986695537000003
362,W2_0363,-123.9223789,45.988369691999999
363,W2_0364,-123.9220397,45.986710037000002
364,W2_0365,-123.9236008,45.991456763000002
365,W2_0366,-123.92303,45.990664506000002
366,W2_0367,-123.92296690000001,45.990891718
367,W2_0368,-123.9234395,45.992624997
368,W2_0369,-123.92279190000001,45.992257793999997
369,W2_0370,-123.922111,45.989982500000004
370,W2_0371,-123.9228181,45.987878129000002
371,W2_0372,-123.9232477,45.989572897000002
372,W2_0373,-123.91983860000001,45.992948323999997
373,W2_0374,-123.9233955,45.994014
374,W2_0375,-123.9235769,45.993430181999997
375,W2_0376,-123.9210096,45.993382806
376,W2_0377,-123.9228215,45.993473000000002
377,W2_0378,-123.9222779,45.993285028000003
378,W2_0379,-123.9255144,45.993373861000002
379,W2_0380,-123.92517290000001,45.993548461000003
380,W2_0381,-123.9222005,45.994264344000001
381,W2_0382,-123.9224377,45.993284791000001
382,W2_0383,-123.92216329999999,45.993287713000001
383,W2_0384,-123.92535719999999,45.971787268
384,W2_0385,-123.92472669999999,45.984850526999999
385,W2_0386,-123.92060720000001,45.982311254000003
386,W2_0387,-123.9212337,45.982316763999997
387,W2_0388,-123.92543550000001,45.983083000000001
388,W2_0389,-123.9266853,45.981574330999997
389,W2_0390,-123.9260263,45.981095023999998
390,W2_0391,-123.9216777,45.982829795000001
391,W2_0392,-123.9187604,45.985231374999998
392,W2_0393,-123.9013325,46.009742000000003
393,W2_0394,-123.905276,46.01117
394,W2_0395,-123.8906807,46.010435760999997
395,W2_0396,-123.9222879,45.985977531000003
396,W2_0397,-123.923374,45.985865500000003
397,W2_0398,-123.92608199999999,45.983384762999997
398,W2_0399,-123.9241675,45.986566500000002
399,W2_0400,-123.92406920000001,45.986966115999998
400,W2_0401,-123.9255191,45.984150812000003
401,W2_0402,-123.9220045,45.982282017999999
402,W2_0403,-123.9235262,45.982427573999999
403,W2_0404,-123.923874,45.983468000000002
404,W2_0405,-123.92388819999999,45.982742747000003
405,W2_0406,-123.92444450000001,45.986785042000001
406,W2_0407,-123.9243786,45.986697677000002
407,W2_0408,-123.904101,46.010618000000001
408,W2_0409,-123.9018999,46.005630254000003
409,W2_0410,-123.9133647,46.009962137999999
410,W2_0411,-123.9134835,46.010640500000001
411,W2_0412,-123.91353220000001,46.008328253000002
412,W2_0413,-123.91346710000001,46.009165535000001
413,W2_0414,-123.9144661,46.007546904000002
414,W2_0415,-123.91249089999999,46.016368923000002
415,W2_0416,-123.9167439,46.011198116000003
416,W2_0417,-123.9290034,45.995988789999998
417,W2_0418,-123.9283573,45.997607000000002
418,W2_0419,-123.9280961,45.994280504999999
419,W2_0420,-123.9280157,45.994523753999999
420,W2_0421,-123.9111662,46.012028473999997
421,W2_0422,-123.90693829999999,46.010821253000003
422,W2_0423,-123.91627339999999,46.011777113000001
423,W2_0424,-123.92627899999999,45.992963957999997
424,W2_0425,-123.92716249999999,45.992482756000001
425,W2_0426,-123.9240678,45.989660215999997
426,W2_0427,-123.9258315,45.981569270999998
427,W2_0428,-123.9286905,45.993354254000003
428,W2_0429,-123.92906619999999,45.993063792999997
429,W2_0430,-123.9257897,45.992959880999997
430,W2_0431,-123.92583810000001,45.992714704999997
431,W2_0432,-123.92502260000001,45.993296237000003
432,W2_0433,-123.9256821,45.992959781000003
433,W2_0434,-123.9249287,45.992910438999999
434,W2_0435,-123.9253958,45.979878280999998
435,W2_0436,-123.9244992,45.986990310000003
436,W2_0437,-123.9244827,45.986892257999997
437,W2_0438,-123.92433459999999,45.986639433999997
438,W2_0439,-123.924088,45.986696131999999
439,W2_0440,-123.9243566,45.986668555000001
440,W2_0441,-123.9240745,45.986566054000001
441,W2_0442,-123.90955940000001,45.989974257999997
442,W2_0443,-123.91003139999999,45.991728354000003
443,W2_0444,-123.90830579999999,45.987887585000003
444,W2_0445,-123.9187795,45.993940027000001
445,W2_0446,-123.91799450000001,45.990900000000003
446,W2_0447,-123.91871829999999,45.992866503000002
447,W2_0448,-123.9206487,45.999863279000003
448,W2_0449,-123.9203316,45.994280093
449,W2_0450,-123.9232937,45.988269977000002
450,W2_0451,-123.920378,46.001707500000002
451,W2_0452,-123.9175108,46.003380745000001
452,W2_0453,-123.91909769999999,46.003267434999998
453,W2_0454,-123.9219959,45.990905136000002
454,W2_0455,-123.919031,45.997950000000003
455,W2_0456,-123.9177766,46.001194021000003
456,W2_0457,-123.912175,46.002722499999997
457,W2_0458,-123.9154929,46.004618714000003
458,W2_0459,-123.91762730000001,45.992112167999998
459,W2_0460,-123.910839,45.999275947999998
460,W2_0461,-123.90619820000001,45.997717584999997
461,W2_0462,-123.90619820000001,45.997717584999997
462,W2_0463,-123.90619820000001,45.997717584999997
463,W2_0464,-123.90619820000001,45.997717584999997
464,W2_0465,-123.92228009999999,45.985918769999998
465,W2_0466,-123.921734,45.9823375
466,W2_0467,-123.9220388,45.986795747000002
467,W2_0468,-123.9229366,45.983107488000002
468,W2_0469,-123.923388,45.986387409999999
469,W2_0470,-123.91620930000001,45.982432336999999
