rupture_ordinal,event_id,rupture_id,tree_id,branch_index,rupture_set_id,source_index,source_id,source_name,source_type,rupture_index,magnitude,raw_annual_rate,top_depth_km,width_km,centroid_longitude,centroid_latitude,centroid_depth_km
90,EVT_00000134,cf988213d69b93e5889dff85,8231,0,8211,138,8211,"PointSourceFinite: -123.100, 42.700",SLAB,2,6.75,2.4810736680193256e-07,50.0,8.0,-123.1,42.7,50.0
91,EVT_00000140,d1afe377c3cd4a9b4fe62d35,8231,0,8211,139,8211,"PointSourceFinite: -123.000, 42.700",SLAB,0,6.55,2.569139857168268e-07,50.0,8.0,-123.0,42.7,50.0
92,EVT_00000141,201c306e8bd54059274eaf10,8231,0,8211,657,8211,"PointSourceFinite: -123.800, 45.400",SLAB,4,6.95,5.990603427085879e-07,42.0,8.0,-123.8,45.4,42.0
93,EVT_00000144,0f9ee498b187934fc9a5b0f5,8231,0,8211,528,8211,"PointSourceFinite: -122.400, 44.600",SLAB,3,6.85,2.827650172663369e-07,60.0,8.0,-122.4,44.6,60.0
94,EVT_00000145,3768a9024b2d8d12997fbff7,8231,0,8211,214,8211,"PointSourceFinite: -123.900, 43.100",SLAB,1,6.65,3.050378286712708e-07,42.0,8.0,-123.9,43.1,42.0
95,EVT_00000146,c8baf1bbd03b47bfe0971785,3199,12,3162,0,3162,"Cascadia (unsegmented, 1-2-3, top)",INTERFACE,1041,8.5,6.335124720565497e-07,5.013003289031124,70.0,,,
96,EVT_00000147,d4d12a2aaa05179983b3ee50,8231,0,8211,65,8211,"PointSourceFinite: -124.100, 42.400",SLAB,3,6.85,6.906534398475672e-07,42.0,8.0,-124.1,42.4,42.0
97,EVT_00000149,9cfd95142f32249be67e592d,3199,16,3150,0,3150,"Cascadia (segmented, 1-2, bottom)",INTERFACE,0,8.55,0.0001306942,5.21813375,140.0,-124.41590263771252,42.67435473406528,17.36571521571734
98,EVT_00000152,ac44c1c5a2c7d9f4c8d333c1,8231,0,8211,622,8211,"PointSourceFinite: -123.900, 45.200",SLAB,0,6.55,8.931184563738519e-07,42.0,8.0,-123.9,45.2,42.0
99,EVT_00000153,7224ddadad485ef9bdae6993,8231,0,8211,586,8211,"PointSourceFinite: -123.900, 45.000",SLAB,4,6.95,6.20447504950945e-07,42.0,8.0,-123.9,45.0,42.0
100,EVT_00000154,318c7ea83175b80b024c9218,8231,0,8211,517,8211,"PointSourceFinite: -123.500, 44.600",SLAB,6,7.15,4.65471018785417e-07,42.0,8.0,-123.5,44.6,42.0
101,EVT_00000155,0972ebe9d83e61f7dfc449da,3199,15,3170,0,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,185,8.0,3.324467985531395e-07,5.0,155.0,,,
102,EVT_00000157,5bede3acb83a1a7a900b72c2,8231,0,8211,648,8211,"PointSourceFinite: -123.000, 45.300",SLAB,3,6.85,6.074401738871074e-07,50.0,8.0,-123.0,45.3,50.0
103,EVT_00000160,b11f40980c7d78acf6292d73,3199,2,3142,0,3142,"Cascadia (segmented, 4, top)",INTERFACE,2,8.63,0.000333,5.0,100.0,-125.85875103634422,47.95932868044565,12.902965767737427
104,EVT_00000162,dc5544c65d0223065ef2706d,8231,0,8211,93,8211,"PointSourceFinite: -123.400, 42.500",SLAB,5,7.05,3.352271570304876e-07,42.0,8.0,-123.4,42.5,42.0
105,EVT_00000164,b648f7499ef0e2ed335d704e,8231,1,8212,456,8212,"PointSourceFinite: -123.900, 44.300",SLAB,0,7.25,2.1054063505582933e-08,42.0,8.0,-123.9,44.3,42.0
106,EVT_00000165,04ff9f9abcb4a0f52db446df,8231,0,8211,612,8211,"PointSourceFinite: -123.100, 45.100",SLAB,3,6.85,6.988452306768536e-07,50.0,8.0,-123.1,45.1,50.0
107,EVT_00000166,3bf5fd6789ae1465c3753d62,3199,14,3112,0,3112,"Cascadia (segmented, 1, top)",INTERFACE,0,8.11,0.0001452232,5.349014,60.0,-124.80867568233194,42.02072601140531,9.26663316514785
108,EVT_00000167,7e89c48f4384289bc878c315,8231,0,8211,67,8211,"PointSourceFinite: -123.900, 42.400",SLAB,3,6.85,6.566047052128528e-07,42.0,8.0,-123.9,42.4,42.0
